trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit3
2024-10-14,2024-10-18,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5852.34,5864.52,5850.0,5840.0,5860.0,60.0,20.37,12.79,78.4,60.0,215.0,215.0,215.0,WIN,expiration,445.0,-450.0,5.0
2024-10-21,2024-10-25,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5859.15,5808.0,5860.0,5850.0,5870.0,50.0,18.89,11.63,71.4,50.0,15.0,45.0,45.0,WIN,expiration,50.0,-400.0,-20.0
2024-10-28,2024-11-01,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5832.99,5728.43,5835.0,5820.0,5850.0,75.0,19.25,17.18,104.9,75.0,210.0,210.0,210.0,WIN,expiration,210.0,-1110.0,95.0
2024-11-04,2024-11-08,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5731.31,5996.62,5730.0,5705.0,5755.0,135.0,22.35,29.0,174.0,135.0,215.0,215.0,215.0,WIN,expiration,550.0,-4620.0,-15.0
2024-11-11,2024-11-15,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),6007.17,5869.75,6005.0,5995.0,6015.0,55.0,15.42,12.78,80.4,55.0,25.0,32.5,55.0,WIN,expiration,60.0,-200.0,-10.0
2024-11-18,2024-11-22,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5869.62,5968.26,5870.0,5855.0,5885.0,85.0,16.44,16.86,103.6,85.0,75.0,75.0,75.0,WIN,expiration,205.0,-1540.0,-0.0
2024-11-25,2024-11-29,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),6003.32,6034.11,6005.0,5995.0,6015.0,65.0,14.79,10.17,63.9,65.0,25.0,55.0,55.0,WIN,expiration,55.0,-1620.0,-220.0
2024-12-02,2024-12-06,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),6038.75,6088.76,6040.0,6030.0,6050.0,40.0,13.85,11.72,74.1,40.0,10.0,120.0,120.0,WIN,expiration,145.0,-3170.0,-10.0
2024-12-09,2024-12-13,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),6083.93,6050.83,6085.0,6075.0,6095.0,60.0,13.45,9.64,61.4,60.0,40.0,40.0,50.0,WIN,expiration,60.0,-200.0,-10.0
2024-12-16,2024-12-20,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),6069.5,5932.8,6070.0,6060.0,6080.0,80.0,14.29,11.41,72.5,80.0,35.0,60.0,60.0,WIN,expiration,95.0,-1790.0,20.0
2024-12-23,2024-12-27,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5930.2,5972.25,5930.0,5915.0,5945.0,240.0,18.83,16.67,103.5,240.0,150.0,150.0,185.0,WIN,expiration,445.0,-2420.0,115.0
2024-12-30,2025-01-03,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),5876.1,5941.88,5875.0,5860.0,5890.0,60.0,19.08,17.48,107.5,60.0,100.0,100.0,100.0,WIN,expiration,100.0,-1810.0,-70.0
