Opened,pp_Closed,pp_Premium,pp_PnL,pp_Fees,cc_Closed,cc_Premium,cc_PnL,cc_Fees,combined_premium,combined_pnl_final,combined_fees,Closed,trade_id
2025-03-07,2025-03-20,2685,64.92,5.08,2025-03-20,945,-932.54,2.54,3630,-867.62,7.62,2025-03-20,196
2025-03-14,2025-03-27,3605,329.92,5.08,2025-03-27,1375,474.46,2.54,4980,804.38,7.62,2025-03-27,197
2025-03-21,2025-04-03,2665,2861.92,5.08,2025-04-03,1155,-1102.54,2.54,3820,1759.38,7.62,2025-04-03,198
2025-03-28,2025-04-10,2400,4736.92,5.08,2025-04-10,780,-620.54,2.54,3180,4116.38,7.62,2025-04-10,199
2025-04-04,2025-04-17,3595,921.92,5.08,2025-04-17,1325,-265.54,2.54,4920,656.3799999999999,7.62,2025-04-17,200
2025-04-11,2025-04-24,4095,709.92,5.08,2025-04-24,1825,187.46,2.54,5920,897.38,7.62,2025-04-24,201
2025-04-25,2025-05-08,3470,-1080.08,5.08,2025-05-08,1140,2332.46,2.54,4610,1252.38,7.62,2025-05-08,202
2025-05-02,2025-05-15,3825,-2183.08,5.08,2025-05-15,1015,1632.46,2.54,4840,-550.6199999999999,7.62,2025-05-15,203
2025-05-09,2025-05-22,3215,-1805.08,5.08,2025-05-22,1005,2667.46,2.54,4220,862.3800000000001,7.62,2025-05-22,204
2025-05-16,2025-05-29,3130,1069.92,5.08,2025-05-29,1415,-1010.54,2.54,4545,59.38000000000011,7.62,2025-05-29,205
2025-05-23,2025-06-05,3470,-1308.08,5.08,2025-06-05,1055,1162.46,2.54,4525,-145.6199999999999,7.62,2025-06-05,206
2025-05-30,2025-06-12,3060,-680.08,5.08,2025-06-12,1030,1642.46,2.54,4090,962.38,7.62,2025-06-12,207
2025-06-06,2025-06-20,2780,1888.92,5.08,2025-06-20,1130,-1033.54,2.54,3910,855.3800000000001,7.62,2025-06-20,208
2025-06-13,2025-06-26,2695,-1773.08,5.08,2025-06-26,1075,1642.46,2.54,3770,-130.6199999999999,7.62,2025-06-26,209
2025-06-20,2025-07-03,3820,-3246.08,5.08,2025-07-03,1370,-282.54,2.54,5190,-3528.62,7.62,2025-07-03,210
2025-06-27,2025-07-10,3120,-1528.08,5.08,2025-07-10,1165,1697.46,2.54,4285,169.3800000000001,7.62,2025-07-10,211
2025-07-11,2025-07-24,3985,-1423.08,5.08,2025-07-24,1645,1537.46,2.54,5630,114.38000000000011,7.62,2025-07-24,212
2025-07-18,2025-07-31,2720,241.92,5.08,2025-07-31,1075,127.46,2.54,3795,369.38,7.62,2025-07-31,213
